metro,city_gu,dong_ri_eup_myeon,base_date,year,priority_protected,converted_deposit,top_priority_amount
인천광역시,중구,덕교동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,중구,을왕동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,중구,무의동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,중구,운남동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,중구,운북동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,중구,운서동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,중구,중산동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,중구,남북동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,중구,덕교동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,중구,을왕동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,중구,무의동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,연수구,송도동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,연수구,송도동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,연수구,송도동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,연수구,송도동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,연수구,송도동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,연수구,송도동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,대곡동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,블로동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,마전동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,금곡동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,오류동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,왕길동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,당하동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,원당동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,청라동,2002-11-01,2002,140000000,25000000,7500000
인천광역시,서구,대곡동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,블로동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,마전동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,금곡동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,오류동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,왕길동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,당하동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,원당동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,청라동,2008-08-21,2008,150000000,25000000,7500000
인천광역시,서구,대곡동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,블로동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,마전동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,금곡동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,오류동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,왕길동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,당하동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,원당동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,청라동,2010-07-26,2010,180000000,30000000,9000000
인천광역시,서구,대곡동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,블로동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,마전동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,금곡동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,오류동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,왕길동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,당하동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,원당동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,청라동,2014-01-01,2014,240000000,38000000,13000000
인천광역시,서구,대곡동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,블로동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,마전동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,금곡동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,오류동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,왕길동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,당하동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,원당동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,청라동,2018-01-26,2018,390000000,38000000,13000000
인천광역시,서구,대곡동,2019-04-02,2019,540000000,38000000,13000000
